name,rating,org_price,offer_price,clean_original_price,clean_offer_price
"REDMI Note 9 (Pebble Grey, 128 GB)",4.3,"₹18,999","₹14,999",18999.0,14999.0
"OPPO A55 (Starry Black, 128 GB)",4.3,"₹18,990","₹13,999",18990.0,13999.0
"realme 3i (Diamond Blue, 64 GB)",4.4,"₹10,999","₹10,499",10999.0,10499.0
"REDMI 9 Activ (Carbon Black, 128 GB)",4.2,"₹12,999","₹11,499",12999.0,11499.0
"POCO M5 (Power Black, 64 GB)",4.3,"₹15,999","₹10,999",15999.0,10999.0
"SAMSUNG Galaxy A04e (Copper, 128 GB)",4.3,"₹14,999","₹11,499",14999.0,11499.0
"OPPO A57 (Glowing Gold, 64 GB)",4.4,,"₹16,990",,16990.0
"SAMSUNG Galaxy A13 (Black, 128 GB)",4.2,"₹20,990","₹16,499",20990.0,16499.0
"SAMSUNG M21 2021 Edition (Charcoal Black, 64 GB)",4.2,"₹14,999","₹11,999",14999.0,11999.0
"SAMSUNG Galaxy A04e (Copper, 64 GB)",4.4,"₹11,999","₹9,999",11999.0,9999.0
"POCO M2 Reloaded (Mostly Blue, 64 GB)",4.3,,"₹11,999",,11999.0
"SAMSUNG Galaxy F12 (Sea Green, 64 GB)",4.3,"₹12,999","₹10,499",12999.0,10499.0
"SAMSUNG Galaxy A04e (Copper, 64 GB)",4.4,"₹11,999","₹9,999",11999.0,9999.0
"SAMSUNG Galaxy F12 (Sea Green, 64 GB)",4.3,"₹12,999","₹10,499",12999.0,10499.0
"SAMSUNG Galaxy A13 (Blue, 64 GB)",4.1,"₹18,490","₹14,499",18490.0,14499.0
GREENBERRI RAFALE,4.0,,₹899,,899.0
"realme Narzo 30 (Racing Blue, 64 GB)",4.4,"₹14,999","₹13,499",14999.0,13499.0
"REDMI 11 Prime (Playful Green, 64 GB)",4.2,"₹14,999","₹10,850",14999.0,10850.0
"SAMSUNG GALAXY M13 (Stardust Brown, 128 GB)",4.2,"₹17,999","₹14,199",17999.0,14199.0
GREENBERRI VIRAT,3.7,"₹1,499",₹799,1499.0,799.0
"OPPO A55 (Rainbow Blue, 64 GB)",4.3,"₹18,990","₹14,399",18990.0,14399.0
"realme Narzo 50A (Oxygen Green, 128 GB)",4.4,"₹13,999","₹12,499",13999.0,12499.0
"REDMI 11 Prime (Peppy Purple, 64 GB)",4.2,"₹14,999","₹10,750",14999.0,10750.0
Cellecor E3,3.9,"₹1,599","₹1,176",1599.0,1176.0
"oppo A17K (Gold, 64 GB)",4.5,"₹12,999","₹9,490",12999.0,9490.0
"SAMSUNG Galaxy A13 (Green, 128 GB)",4.1,"₹19,990","₹14,999",19990.0,14999.0
"Infinix Hot 12 Pro (Racing Black, 128 GB)",4.0,"₹15,999","₹12,999",15999.0,12999.0
"realme narzo 50 5G (Hyper Blue, 64 GB)",4.4,"₹16,999","₹14,849",16999.0,14849.0
"realme C21 (Cross Blue, 64 GB)",4.4,"₹10,999","₹10,499",10999.0,10499.0
"realme narzo 50 5G (Hyper Black, 64 GB)",4.4,"₹17,990","₹14,884",17990.0,14884.0
"REDMI 10A (CHARCOAL BLACK, 128 GB)",4.0,"₹13,999","₹11,999",13999.0,11999.0
